EMPRESA,DATA,TICKER,VARIACAO
bradesco-bbdc4,2024-12-20,BBDC4.SA,1.642183
bradesco-bbdc4,2024-12-17,BBDC4.SA,0
bradesco-bbdc4,2024-12-17,BBDC4.SA,0.16708
bradesco-bbdc4,2024-12-17,BBDC4.SA,0
btgp-banco-bpac11,2025-01-07,BPAC11.SA,2.037034
btgp-banco-bpac11,2025-01-07,BPAC11.SA,0
btgp-banco-bpac11,2025-01-07,BPAC11.SA,0.287356
btgp-banco-bpac11,2025-01-06,BPAC11.SA,2.037034
btgp-banco-bpac11,2025-01-06,BPAC11.SA,0
btgp-banco-bpac11,2024-12-30,BPAC11.SA,0
btgp-banco-bpac11,2024-12-17,BPAC11.SA,0
btgp-banco-bpac11,2024-12-17,BPAC11.SA,0.828157
btgp-banco-bpac11,2024-12-17,BPAC11.SA,0
btgp-banco-bpac11,2024-12-17,BPAC11.SA,0
btgp-banco-bpac11,2024-12-17,BPAC11.SA,0.828157
btgp-banco-bpac11,2024-12-17,BPAC11.SA,0
btgp-banco-bpac11,2024-12-06,BPAC11.SA,2.059797
btgp-banco-bpac11,2024-12-06,BPAC11.SA,0
btgp-banco-bpac11,2024-12-06,BPAC11.SA,0
btgp-banco-bpac11,2024-11-22,BPAC11.SA,0
btgp-banco-bpac11,2024-11-22,BPAC11.SA,0
btgp-banco-bpac11,2024-11-12,BPAC11.SA,3.863988
btgp-banco-bpac11,2024-11-12,BPAC11.SA,0.892866
btgp-banco-bpac11,2024-11-12,BPAC11.SA,0.711737
btgp-banco-bpac11,2024-11-12,BPAC11.SA,3.863988
btgp-banco-bpac11,2024-11-12,BPAC11.SA,0.892866
btgp-banco-bpac11,2024-11-12,BPAC11.SA,0.711737
btgp-banco-bpac11,2024-11-12,BPAC11.SA,3.863988
btgp-banco-bpac11,2024-11-12,BPAC11.SA,0.892866
btgp-banco-bpac11,2024-11-12,BPAC11.SA,0.711737
